@RELATION test

@ATTRIBUTE ts NUMERIC
@ATTRIBUTE ax NUMERIC
@ATTRIBUTE ay NUMERIC
@ATTRIBUTE az NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE class {0, 1, 2, 3}

@DATA
15059,0.085033,0.841686,-0.393066,0.932827,2
15200,-0.417436,1.587057,-0.497387,1.714759,2
15335,-0.175594,1.485126,-0.236584,1.514069,2
15471,-0.72737,1.771808,-1.08538,2.201459,2
15607,-0.269513,0.935123,-0.829319,1.278617,2
15743,0.207128,0.461568,-0.530581,0.733118,3
15862,0.209476,0.593229,-0.876738,1.079106,3
15992,0.221216,0.803462,-0.812722,1.164047,3
16112,-0.041759,0.930876,-0.186794,0.95035,3
16261,0.270523,1.954434,-0.599338,2.062087,3
16380,1.141626,0.652689,-1.348555,1.88359,3
16508,0.348007,0.05172,-0.812722,0.885608,1
16638,-0.067586,0.02199,-0.836432,0.839446,1
16774,-0.307081,0.128168,-0.620676,0.704248,1
16946,-0.274209,0.338401,-0.758191,0.874391,1
17092,-0.072282,0.733384,-0.689434,1.009156,2
17241,-0.027671,1.164468,-0.525839,1.27799,2
17377,-0.43622,1.699606,-0.40255,1.800277,2
17513,-0.321169,1.236669,-0.345647,1.323621,2
17649,-0.70389,1.773931,-1.170734,2.238953,2
17784,-0.201422,0.811956,-0.634902,1.050211,2
17920,0.333919,0.11118,-0.217616,0.413787,0
18048,0.533498,-0.035346,-0.419146,0.679377,0
18195,0.643853,-0.003493,-0.32668,0.721996,0
18344,0.902131,0.064461,-0.506871,1.036781,0
18463,0.801168,0.05809,-0.45234,0.921876,0
18593,0.735424,0.102685,-0.32668,0.811242,0
18724,0.714293,-0.043841,-0.63016,0.95354,0
18859,0.568718,0.05809,-0.684692,0.891973,0
18979,0.559326,0.015619,-0.601709,0.82167,0
19098,0.669681,-0.00774,-0.525839,0.851492,0
19234,0.641505,-0.073571,-0.596967,0.879381,0
19412,0.458362,-0.101177,-0.817464,0.942645,0
19547,0.284611,-0.12666,-0.898076,0.950572,0
19683,0.094425,-0.313534,-0.807981,0.87181,0
19830,-0.555967,-0.434577,-0.905189,1.147747,0
19966,-0.800158,-0.49616,0.033703,0.942106,0
20102,-0.520748,-0.697899,0.258943,0.908456,0
20238,-0.450308,-0.714887,0.40357,0.936328,0
20374,-0.276557,-0.742494,0.408312,0.891347,0
20523,-0.246033,-0.846548,0.339554,0.944708,0
20658,-0.271861,-0.814695,0.391715,0.943969,0
20794,-0.220206,-0.814695,0.339554,0.909679,0
20939,-0.262469,-0.750988,0.386973,0.884659,0
21074,-0.257773,-0.753112,0.35378,0.871082,0
21210,-0.307081,-0.840178,0.365635,0.966378,0
21346,-0.358737,-0.778594,0.368006,0.932914,0
21504,-0.189682,-0.642686,0.40357,0.782236,0
21653,-0.13333,-0.738247,0.427279,0.863338,0
21789,-0.116894,-0.753112,0.405941,0.863498,0
21925,-0.199074,-0.838054,0.372748,0.938566,0
0,-0.163854,-0.806201,0.25183,0.860364,0
138,-0.10985,-0.823189,0.239975,0.864462,0
258,-0.130982,-0.825313,0.223378,0.864983,0
377,-0.112198,-0.863537,0.190185,0.891322,0
497,-0.126286,-0.818942,0.258943,0.868139,0
616,-0.091066,-0.886896,0.427279,0.988658,0
735,0.080337,-0.629945,0.533972,0.829705,0
868,0.073293,-0.846548,0.261313,0.888989,0
987,-0.07463,-0.759482,0.313474,0.825014,0
1106,0.000505,-0.619327,0.237604,0.663341,0
1225,-0.382216,-0.576856,0.567165,0.894722,0
1353,-0.370477,-0.649057,0.747356,1.056915,0
1484,-0.302385,-0.595968,0.816113,1.054825,0
1603,-0.377521,-0.451565,0.688083,0.905478,0
1733,-0.551271,-0.500407,0.557681,0.930224,0
1876,-0.887033,-0.362376,0.216266,0.982301,0
1996,-0.82129,-0.326275,-0.072989,0.886735,0
2131,-0.929297,-0.005617,-0.293487,0.974556,0
2267,-0.872945,-0.009864,-0.295857,0.921771,0
2424,-1.051392,-0.052335,-0.646757,1.235499,0
2559,-1.044348,-0.334769,-0.793755,1.353802,0
2711,-0.811898,-0.356005,-1.030849,1.35962,0
2855,-0.288297,-0.048088,-0.774787,0.828084,0
